,,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout
,,Missing,Overall,0,1,P-Value,Test
n,,,3194,2722,472,,
"mage, mean (SD)",,0,29.8 (6.5),29.9 (6.3),29.0 (7.1),0.012,Welch’s T-test
"male, n (%)",0,,1599 (50.1),1353 (49.7),246 (52.1),0.359,Chi-squared
"male, n (%)",1,,1595 (49.9),1369 (50.3),226 (47.9),,
"bord, mean (SD)",,0,3.5 (2.3),3.5 (2.3),3.6 (2.4),0.209,Welch’s T-test
"parity, mean (SD)",,0,3.6 (2.3),3.5 (2.3),3.7 (2.4),0.260,Welch’s T-test
"medu, n (%)",0,,846 (26.5),691 (25.4),155 (32.8),<0.001,Chi-squared
"medu, n (%)",1,,363 (11.4),295 (10.8),68 (14.4),,
"medu, n (%)",2,,1451 (45.4),1235 (45.4),216 (45.8),,
"medu, n (%)",3,,534 (16.7),501 (18.4),33 (7.0),,
"fedu, n (%)",0.0,,632 (19.8),513 (18.8),119 (25.2),<0.001,Chi-squared
"fedu, n (%)",1.0,,291 (9.1),230 (8.4),61 (12.9),,
"fedu, n (%)",2.0,,1299 (40.7),1113 (40.9),186 (39.4),,
"fedu, n (%)",3.0,,762 (23.9),702 (25.8),60 (12.7),,
"fedu, n (%)",8.0,,48 (1.5),43 (1.6),5 (1.1),,
"fedu, n (%)",None,,162 (5.1),121 (4.4),41 (8.7),,
"v505, n (%)",0.0,,2419 (75.7),2086 (76.6),333 (70.6),<0.001,Chi-squared (warning: expected count < 5)
"v505, n (%)",1.0,,486 (15.2),410 (15.1),76 (16.1),,
"v505, n (%)",2.0,,90 (2.8),76 (2.8),14 (3.0),,
"v505, n (%)",3.0,,28 (0.9),24 (0.9),4 (0.8),,
"v505, n (%)",4.0,,2 (0.1),2 (0.1),0 (0.0),,
"v505, n (%)",98.0,,7 (0.2),3 (0.1),4 (0.8),,
"v505, n (%)",None,,162 (5.1),121 (4.4),41 (8.7),,
"v131, n (%)",10,,2 (0.1),2 (0.1),0 (0.0),<0.001,Chi-squared (warning: expected count < 5)
"v131, n (%)",108,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",109,,227 (7.1),184 (6.8),43 (9.1),,
"v131, n (%)",110,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",111,,3 (0.1),0 (0.0),3 (0.6),,
"v131, n (%)",113,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",114,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",115,,21 (0.7),20 (0.7),1 (0.2),,
"v131, n (%)",116,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",118,,15 (0.5),15 (0.6),0 (0.0),,
"v131, n (%)",122,,4 (0.1),3 (0.1),1 (0.2),,
"v131, n (%)",124,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",127,,6 (0.2),3 (0.1),3 (0.6),,
"v131, n (%)",130,,702 (22.0),611 (22.4),91 (19.3),,
"v131, n (%)",131,,11 (0.3),11 (0.4),0 (0.0),,
"v131, n (%)",132,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",133,,54 (1.7),46 (1.7),8 (1.7),,
"v131, n (%)",134,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",136,,21 (0.7),16 (0.6),5 (1.1),,
"v131, n (%)",137,,52 (1.6),45 (1.7),7 (1.5),,
"v131, n (%)",138,,615 (19.3),543 (19.9),72 (15.3),,
"v131, n (%)",139,,9 (0.3),4 (0.1),5 (1.1),,
"v131, n (%)",140,,62 (1.9),50 (1.8),12 (2.5),,
"v131, n (%)",141,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",143,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",149,,12 (0.4),11 (0.4),1 (0.2),,
"v131, n (%)",15,,11 (0.3),10 (0.4),1 (0.2),,
"v131, n (%)",150,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",153,,8 (0.3),8 (0.3),0 (0.0),,
"v131, n (%)",155,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",160,,14 (0.4),13 (0.5),1 (0.2),,
"v131, n (%)",162,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",164,,10 (0.3),7 (0.3),3 (0.6),,
"v131, n (%)",165,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",166,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",168,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",169,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",172,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",174,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",175,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",179,,64 (2.0),42 (1.5),22 (4.7),,
"v131, n (%)",18,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",180,,11 (0.3),10 (0.4),1 (0.2),,
"v131, n (%)",181,,23 (0.7),20 (0.7),3 (0.6),,
"v131, n (%)",182,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",184,,1 (0.0),0 (0.0),1 (0.2),,
"v131, n (%)",185,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",19,,3 (0.1),3 (0.1),0 (0.0),,
"v131, n (%)",190,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",195,,2 (0.1),2 (0.1),0 (0.0),,
"v131, n (%)",196,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",198,,4 (0.1),4 (0.1),0 (0.0),,
"v131, n (%)",20,,2 (0.1),1 (0.0),1 (0.2),,
"v131, n (%)",202,,1 (0.0),1 (0.0),0 (0.0),,
"v131, n (%)",204,,5 (0.2),5 (0.2),0 (0.0),,
"v131, n (%)",206,,7 (0.2),7 (0.3),0 (0.0),,
"v131, n (%)",208,,8 (0.3),5 (0.2),3 (0.6),,
"v131, n (%)",209,,6 (0.2),2 (0.1),4 (0.8),,
"v131, n (%)",21,,21 (0.7),18 (0.7),3 (0.6),,
"v131, n (%)",211,,16 (0.5),10 (0.4),6 (1.3),,
