completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
0.9999,1.0,1000000,100.0,0.9993975903614458,1.0,0.00060240963855418
1.0,1.0,1000000,100.0,1.0,1.0,0.0
0.9999,1.0,1000000,100.0,1.0,1.0,0.0
0.9999,1.0,1000000,100.0,0.9993920972644377,1.0,0.0006079027355623268
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
0.9999,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
1.0,1.0,1000000,100.0,1.0,1.0,0.0
