completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,4490650,449.065,1.0,1.0,0.0
1.0,1.0,4415050,441.505,1.0,1.0,0.0
1.0,1.0,4469050,446.905,1.0,1.0,0.0
1.0,1.0,4447450,444.745,1.0,1.0,0.0
1.0,1.0,4438900,443.89,1.0,1.0,0.0
1.0,1.0,4483900,448.39,1.0,1.0,0.0
1.0,1.0,4455550,445.555,1.0,1.0,0.0
1.0,1.0,4485700,448.57,1.0,1.0,0.0
1.0,1.0,4499200,449.92,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4444750,444.475,1.0,1.0,0.0
1.0,1.0,4475350,447.535,1.0,1.0,0.0
1.0,1.0,4443850,444.385,1.0,1.0,0.0
1.0,1.0,4489750,448.975,1.0,1.0,0.0
1.0,1.0,4534300,453.43,1.0,1.0,0.0
1.0,1.0,4529800,452.98,1.0,1.0,0.0
1.0,1.0,4410550,441.055,1.0,1.0,0.0
1.0,1.0,4411900,441.19,1.0,1.0,0.0
1.0,1.0,4436650,443.665,1.0,1.0,0.0
1.0,1.0,4410550,441.055,1.0,1.0,0.0
1.0,1.0,4471300,447.13,1.0,1.0,0.0
1.0,1.0,4457350,445.735,1.0,1.0,0.0
1.0,1.0,4436200,443.62,1.0,1.0,0.0
1.0,1.0,4428100,442.81,1.0,1.0,0.0
1.0,1.0,4442950,444.295,1.0,1.0,0.0
1.0,1.0,4549600,454.96,1.0,1.0,0.0
1.0,1.0,4472650,447.265,1.0,1.0,0.0
1.0,1.0,4460500,446.05,1.0,1.0,0.0
1.0,1.0,4465000,446.5,1.0,1.0,0.0
1.0,1.0,4469950,446.995,1.0,1.0,0.0
1.0,1.0,4487050,448.705,1.0,1.0,0.0
1.0,1.0,4438450,443.845,1.0,1.0,0.0
1.0,1.0,4415050,441.505,1.0,1.0,0.0
1.0,1.0,4379950,437.995,1.0,1.0,0.0
1.0,1.0,4421350,442.135,1.0,1.0,0.0
1.0,1.0,4442950,444.295,1.0,1.0,0.0
1.0,1.0,4403800,440.38,1.0,1.0,0.0
1.0,1.0,4525300,452.53,1.0,1.0,0.0
1.0,1.0,4447450,444.745,1.0,1.0,0.0
1.0,1.0,4353400,435.34,1.0,1.0,0.0
1.0,1.0,4415950,441.595,1.0,1.0,0.0
1.0,1.0,4503250,450.325,1.0,1.0,0.0
1.0,1.0,4489750,448.975,1.0,1.0,0.0
1.0,1.0,4429000,442.9,1.0,1.0,0.0
1.0,1.0,4565350,456.535,1.0,1.0,0.0
1.0,1.0,4438450,443.845,1.0,1.0,0.0
1.0,1.0,4474900,447.49,1.0,1.0,0.0
1.0,1.0,4426300,442.63,1.0,1.0,0.0
1.0,1.0,4458250,445.825,1.0,1.0,0.0
1.0,1.0,4509550,450.955,1.0,1.0,0.0
1.0,1.0,4478500,447.85,1.0,1.0,0.0
1.0,1.0,4414600,441.46,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4510000,451.0,1.0,1.0,0.0
1.0,1.0,4502800,450.28,1.0,1.0,0.0
1.0,1.0,4480750,448.075,1.0,1.0,0.0
1.0,1.0,4455550,445.555,1.0,1.0,0.0
1.0,1.0,4472200,447.22,1.0,1.0,0.0
1.0,1.0,4496950,449.695,1.0,1.0,0.0
1.0,1.0,4403350,440.335,1.0,1.0,0.0
1.0,1.0,4521700,452.17,1.0,1.0,0.0
1.0,1.0,4509100,450.91,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4426750,442.675,1.0,1.0,0.0
1.0,1.0,4410550,441.055,1.0,1.0,0.0
1.0,1.0,4438000,443.8,1.0,1.0,0.0
1.0,1.0,4464550,446.455,1.0,1.0,0.0
1.0,1.0,4523050,452.305,1.0,1.0,0.0
1.0,1.0,4447450,444.745,1.0,1.0,0.0
1.0,1.0,4469050,446.905,1.0,1.0,0.0
1.0,1.0,4411900,441.19,1.0,1.0,0.0
1.0,1.0,4478950,447.895,1.0,1.0,0.0
1.0,1.0,4456900,445.69,1.0,1.0,0.0
1.0,1.0,4414150,441.415,1.0,1.0,0.0
1.0,1.0,4514950,451.495,1.0,1.0,0.0
1.0,1.0,4412800,441.28,1.0,1.0,0.0
1.0,1.0,4406500,440.65,1.0,1.0,0.0
1.0,1.0,4472200,447.22,1.0,1.0,0.0
1.0,1.0,4472200,447.22,1.0,1.0,0.0
1.0,1.0,4424050,442.405,1.0,1.0,0.0
1.0,1.0,4464100,446.41,1.0,1.0,0.0
