completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.9966,0.9975,8966700,896.67,0.9993935718617344,0.9970313825275657,-0.0023621893341686517
0.9967,0.9975,8794150,879.415,0.9982435597189696,0.996122361051271,-0.002121198667698554
0.9971,0.9976,8835900,883.59,0.9982321744254566,0.9974522292993631,-0.0007799451260935841
0.9961,0.9968,8973700,897.37,0.9975354282193469,0.9978759558198811,0.0003405276005341573
0.9976,0.998,8822350,882.235,1.0,0.9991434689507495,-0.0008565310492505418
0.9967,0.997,8991250,899.125,0.9982003599280144,0.9969392216878006,-0.0012611382402137883
0.997,0.9975,8866300,886.63,0.9987951807228915,0.9982920580700256,-0.000503122652865895
0.9965,0.9968,8870300,887.03,0.9977116704805492,0.9969723183391004,-0.0007393521414488236
0.9961,0.997,8833700,883.37,0.9970484061393152,0.9965768078733419,-0.00047159826597331644
0.9962,0.9969,8879900,887.99,0.9988165680473373,0.9979009235936188,-0.0009156444537185005
0.9975,0.9979,8919050,891.905,0.9993968636911942,0.9970612930310663,-0.002335570660127906
0.9964,0.9967,8794650,879.465,0.9994093325457767,0.9953131657435024,-0.004096166802274315
0.997,0.9975,8858100,885.81,1.0,0.998345055854365,-0.001654944145635051
0.997,0.9973,8848150,884.815,0.9987878787878788,0.9974779319041615,-0.0013099468837173278
0.9958,0.9967,8921900,892.19,0.9987349778621126,0.9962390305056414,-0.0024959473564711843
0.9979,0.9981,8853400,885.34,0.9993827160493827,0.9987234042553191,-0.0006593117940635329
0.9962,0.9971,8909950,890.995,0.9993784959602238,0.9971134020618557,-0.0022650938983680424
0.9976,0.9983,8966000,896.6,0.9993943064809206,0.9987384356602187,-0.0006558708207019537
0.9972,0.9975,8800100,880.01,0.9976047904191617,0.9979009235936188,0.00029613317445709164
0.9979,0.9982,8857700,885.77,0.9987752602571953,0.99830220713073,-0.00047305312646528375
0.9981,0.9983,8905950,890.595,0.9994110718492344,0.9991397849462366,-0.0002712869029978249
0.9972,0.9973,8950150,895.015,1.0,0.9974968710888611,-0.0025031289111389077
0.9956,0.9961,8884300,888.43,0.9982445874780573,0.9961256995264743,-0.002118887951582993
0.997,0.9974,8757000,875.7,0.9994022713687986,0.9982949701619779,-0.0011073012068206767
0.9969,0.9972,8941950,894.195,1.0,0.9974369927381461,-0.002563007261853878
0.996,0.997,8791350,879.135,0.9993939393939394,0.9961587708066582,-0.003235168587281234
0.9959,0.9969,8847850,884.785,0.9963746223564954,0.9987163029525032,0.0023416805960078113
0.9976,0.9977,8951350,895.135,1.0,0.9982869379014989,-0.0017130620985010836
0.9955,0.9962,8882950,888.295,0.9963008631319359,0.9961848240779991,-0.00011603905393675618
0.9967,0.9972,8944100,894.41,0.9975859987929994,0.9965913932680017,-0.0009946055249976382
0.9974,0.9978,8954750,895.475,1.0,0.9982683982683983,-0.0017316017316016952
0.9973,0.9979,8881200,888.12,0.9987819732034104,0.9986893840104849,-9.258919292554069e-05
0.9967,0.9973,8784800,878.48,0.9976090854751942,0.998745294855709,0.00113620938051473
0.998,0.9981,8797300,879.73,1.0,0.9986713906111603,-0.0013286093888397188
0.9962,0.9967,8869650,886.965,0.9981538461538462,0.9970760233918129,-0.0010778227620332759
0.9962,0.9968,8810700,881.07,0.9968691296180339,0.9991452991452991,0.0022761695272652815
0.9961,0.997,8866300,886.63,0.997624703087886,0.9986956521739131,0.0010709490860271176
0.9976,0.9979,8822250,882.225,1.0,0.9965635738831615,-0.0034364261168384758
0.9981,0.9985,8920550,892.055,1.0,0.9983058026260059,-0.0016941973739941218
