completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
0.8722,0.9547,978700,97.87,0.8645515558267236,0.9325938566552902,0.06804230082856655
0.866,0.9515,978000,97.8,0.8444180522565321,0.9197267292912041,0.07530867703467203
0.8707,0.951,976850,97.685,0.8386901152213463,0.9337016574585635,0.0950115422372172
0.8701,0.9534,979400,97.94,0.8586956521739131,0.9295774647887324,0.0708818126148193
0.8686,0.9511,976450,97.645,0.8508982035928143,0.9294320137693631,0.07853381017654881
0.8706,0.9556,979150,97.915,0.8478260869565217,0.9322033898305084,0.0843773028739867
0.8701,0.9505,976600,97.66,0.8476903870162297,0.9244635193133047,0.07677313229707505
0.8694,0.9535,979000,97.9,0.8633944411590775,0.9260814783704326,0.06268703721135516
0.8694,0.9524,977550,97.755,0.8428753180661578,0.9320961619569802,0.08922084389082241
0.8739,0.9534,978950,97.895,0.8684684684684685,0.9249894648124737,0.0565209963440052
0.8694,0.9509,976800,97.68,0.8731343283582089,0.925755033557047,0.0526207051988381
0.8692,0.9541,978850,97.885,0.8501199040767387,0.9297589359933499,0.07963903191661126
0.8702,0.9539,978300,97.83,0.8612961841308298,0.9227539882451721,0.06145780411434232
0.8678,0.9502,977800,97.78,0.8575047498416719,0.9286603069265865,0.07115555708491461
0.8694,0.9514,977500,97.75,0.8467595396729255,0.9194292908099034,0.07266975113697793
0.8688,0.9503,978750,97.875,0.8534432018834609,0.9204892966360856,0.06704609475262469
0.872,0.956,979350,97.935,0.8576923076923076,0.9345362987830466,0.07684399109073892
0.8756,0.9568,980650,98.065,0.8401966810079902,0.9249045396690708,0.08470785866108066
0.8714,0.9521,978300,97.83,0.856788592684439,0.933588761174968,0.07680016849052906
0.8686,0.9546,978650,97.865,0.8476780185758513,0.9311671654553227,0.0834891468794714
0.8752,0.9529,978250,97.825,0.8558558558558559,0.9281791297000422,0.07232327384418635
0.872,0.9573,980000,98.0,0.8526570048309179,0.9292035398230089,0.07654653499209096
0.8665,0.9514,977950,97.795,0.8379715522572665,0.9327521793275217,0.09478062707025525
0.8713,0.9524,978900,97.89,0.8454164170161773,0.9318083728959862,0.08639195587980886
