community_idx,assigned_action,n_children,dropout_rate,cost,sstate,v021
821,3,16,0.3125,24000,28,1029
1053,1,6,0.5,300,35,1295
816,1,12,0.25,600,28,1024
817,1,10,0.4,500,28,1025
137,1,8,0.5,400,6,193
285,1,8,0.75,400,10,356
479,1,8,0.625,400,16,593
1059,1,2,1.0,100,35,1303
39,1,9,0.2222222222222222,450,3,83
805,1,6,0.5,300,28,1012
146,1,11,0.18181818181818182,550,6,207
446,1,7,0.42857142857142855,350,15,556
268,1,6,0.3333333333333333,300,10,339
145,1,7,0.42857142857142855,350,6,206
651,1,7,0.42857142857142855,350,22,815
818,1,9,0.2222222222222222,450,28,1026
628,1,5,0.6,250,21,785
292,1,9,0.2222222222222222,450,10,365
487,1,6,0.6666666666666666,300,16,601
258,1,4,0.5,200,10,328
262,1,4,0.5,200,10,332
142,1,5,1.0,250,6,199
260,1,5,0.4,250,10,330
143,1,5,0.6,250,6,204
179,1,5,0.4,250,7,241
494,1,6,0.3333333333333333,300,17,609
102,1,7,0.2857142857142857,350,5,154
103,1,7,0.2857142857142857,350,5,155
97,2,1,1.0,500,5,149
323,1,6,0.3333333333333333,300,11,405
127,1,4,0.75,200,6,181
459,1,6,0.3333333333333333,300,16,570
836,1,9,0.1111111111111111,450,28,1044
1019,1,5,0.2,250,34,1254
79,1,5,0.4,250,4,131
33,1,4,0.5,200,3,76
500,1,5,0.4,250,17,616
820,1,5,0.4,250,28,1028
1025,1,2,0.5,100,34,1263
835,1,5,0.4,250,28,1043
355,1,5,0.4,250,12,447
476,1,6,0.3333333333333333,300,16,589
529,1,4,0.75,200,18,648
111,1,5,0.4,250,5,164
125,1,12,0.08333333333333333,600,5,179
631,1,3,0.6666666666666666,150,21,791
999,1,3,0.3333333333333333,150,33,1229
917,1,5,0.4,250,31,1142
883,1,3,0.6666666666666666,150,30,1099
310,1,5,0.4,250,11,387
279,1,7,0.14285714285714285,350,10,350
831,1,8,0.125,400,28,1039
609,1,4,0.5,200,21,764
184,1,5,0.4,250,7,246
1066,1,4,0.5,200,36,1312
119,1,9,0.1111111111111111,450,5,172
575,4,1,1.0,800,20,714
1103,1,3,0.3333333333333333,150,37,1357
136,1,3,0.6666666666666666,150,6,192
206,1,7,0.14285714285714285,350,8,271
150,1,3,0.6666666666666666,150,6,212
198,1,3,0.6666666666666666,150,8,263
228,1,9,0.1111111111111111,450,9,295
819,1,4,0.5,200,28,1027
167,1,8,0.125,400,7,229
218,1,9,0.1111111111111111,450,8,283
207,1,9,0.1111111111111111,450,8,272
889,1,3,0.6666666666666666,150,30,1106
488,1,6,0.16666666666666666,300,17,603
393,1,3,0.6666666666666666,150,14,500
132,1,3,0.6666666666666666,150,6,187
44,1,3,0.6666666666666666,150,3,88
687,1,3,0.6666666666666666,150,23,860
118,1,3,0.3333333333333333,150,5,171
165,1,7,0.14285714285714285,350,7,227
473,1,3,1.0,150,16,585
461,1,7,0.14285714285714285,350,16,572
158,1,3,0.3333333333333333,150,7,220
147,1,6,0.16666666666666666,300,6,208
16,1,3,0.6666666666666666,150,2,39
1080,1,2,0.5,100,36,1330
554,1,2,0.5,100,19,684
734,1,3,0.6666666666666666,150,25,927
243,1,4,0.25,200,9,310
697,1,5,0.2,250,24,876
213,1,3,0.6666666666666666,150,8,278
152,1,7,0.14285714285714285,350,6,214
202,1,7,0.14285714285714285,350,8,267
189,1,7,0.14285714285714285,350,7,252
290,1,7,0.14285714285714285,350,10,362
829,1,3,0.6666666666666666,150,28,1037
826,1,2,0.5,100,28,1034
931,1,4,0.25,200,32,1156
57,1,5,0.2,250,3,106
557,1,5,0.2,250,19,688
414,1,3,0.3333333333333333,150,14,523
986,1,3,0.3333333333333333,150,33,1216
366,1,3,1.0,150,13,462
909,2,1,1.0,500,31,1134
1030,1,4,0.25,200,35,1268
267,1,3,0.3333333333333333,150,10,338
276,1,7,0.14285714285714285,350,10,347
908,1,4,0.25,200,31,1132
433,1,6,0.16666666666666666,300,15,542
251,1,4,0.25,200,9,319
112,1,5,0.2,250,5,165
265,1,6,0.16666666666666666,300,10,335
105,1,5,0.2,250,5,157
299,1,6,0.16666666666666666,300,11,376
169,1,2,0.5,100,7,231
445,1,6,0.16666666666666666,300,15,555
306,1,6,0.16666666666666666,300,11,383
124,1,5,0.2,250,5,178
316,1,5,0.2,250,11,394
1098,1,5,0.2,250,36,1352
141,1,4,0.25,200,6,198
865,1,3,1.0,150,30,1081
182,1,3,0.3333333333333333,150,7,244
452,1,4,0.25,200,15,562
747,1,5,0.2,250,26,942
939,1,3,0.6666666666666666,150,32,1165
498,1,4,0.25,200,17,613
286,1,5,0.2,250,10,357
576,1,6,0.16666666666666666,300,20,716
949,1,5,0.2,250,32,1177
513,1,4,0.25,200,17,632
532,1,3,1.0,150,18,653
336,1,2,0.5,100,12,419
120,1,5,0.2,250,5,173
249,1,3,0.3333333333333333,150,9,317
439,1,5,0.2,250,15,548
561,1,5,0.2,250,19,693
578,1,3,0.3333333333333333,150,20,718
832,1,5,0.2,250,28,1040
926,1,4,0.25,200,31,1151
619,1,3,0.3333333333333333,150,21,775
1017,1,2,0.5,100,34,1251
350,1,3,0.3333333333333333,150,12,441
838,1,5,0.2,250,29,1046
751,1,5,0.2,250,26,946
781,1,5,0.2,250,27,985
139,1,4,0.25,200,6,195
759,1,3,0.3333333333333333,150,26,954
298,1,5,0.2,250,11,375
64,1,3,0.3333333333333333,150,4,114
617,1,4,0.25,200,21,773
174,1,4,0.25,200,7,236
538,1,4,0.25,200,18,663
66,1,4,0.25,200,4,116
491,1,4,0.25,200,17,606
935,1,4,0.25,200,32,1161
830,1,5,0.2,250,28,1038
531,1,5,0.2,250,18,652
173,1,1,1.0,50,7,235
434,1,2,1.0,100,15,543
140,1,3,0.3333333333333333,150,6,197
732,1,4,0.25,200,25,924
454,1,5,0.2,250,16,564
313,1,5,0.2,250,11,391
38,1,4,0.25,200,3,82
400,1,5,0.2,250,14,509
722,1,3,0.3333333333333333,150,25,911
633,1,4,0.25,200,22,794
565,1,5,0.2,250,19,699
876,1,4,0.25,200,30,1092
894,1,2,0.5,100,30,1114
100,1,4,0.25,200,5,152
29,1,4,0.25,200,2,69
229,1,4,0.25,200,9,296
542,1,3,0.3333333333333333,150,18,669
1112,1,4,0.25,200,37,1368
403,1,4,0.25,200,14,512
131,1,2,1.0,100,6,186
160,1,3,0.3333333333333333,150,7,222
460,1,4,0.25,200,16,571
592,1,3,0.3333333333333333,150,20,741
492,1,2,0.5,100,17,607
661,1,2,1.0,100,22,831
224,1,4,0.25,200,9,290
599,1,3,0.3333333333333333,150,20,748
1127,1,4,0.25,200,37,1385
278,1,3,0.3333333333333333,150,10,349
362,1,4,0.25,200,13,458
368,1,4,0.25,200,13,464
919,1,3,0.3333333333333333,150,31,1144
966,1,3,0.3333333333333333,150,33,1194
812,1,3,0.3333333333333333,150,28,1019
318,1,4,0.25,200,11,396
388,1,3,0.3333333333333333,150,14,494
41,1,3,0.3333333333333333,150,3,85
480,1,3,0.3333333333333333,150,16,594
740,1,2,0.5,100,25,934
225,1,4,0.25,200,9,291
241,1,2,0.5,100,9,308
28,1,3,0.3333333333333333,150,2,66
175,1,3,0.3333333333333333,150,7,237
637,1,3,0.3333333333333333,150,22,798
482,1,2,1.0,100,16,596
595,1,3,0.3333333333333333,150,20,744
938,1,4,0.25,200,32,1164
371,1,2,0.5,100,13,468
199,1,4,0.25,200,8,264
636,1,2,0.5,100,22,797
377,1,3,0.3333333333333333,150,13,477
356,1,2,0.5,100,12,448
676,1,3,0.3333333333333333,150,23,847
1021,1,3,0.3333333333333333,150,34,1258
534,1,3,0.3333333333333333,150,18,657
382,1,3,0.3333333333333333,150,13,484
471,1,3,0.3333333333333333,150,16,582
1111,1,3,0.3333333333333333,150,37,1365
288,1,3,0.3333333333333333,150,10,359
78,1,3,0.3333333333333333,150,4,129
148,1,2,0.5,100,6,209
230,1,3,0.3333333333333333,150,9,297
543,1,2,0.5,100,18,670
745,1,3,0.3333333333333333,150,26,940
735,1,3,0.3333333333333333,150,25,928
654,1,3,0.3333333333333333,150,22,820
419,1,3,0.3333333333333333,150,15,528
714,1,2,1.0,100,25,901
128,1,2,0.5,100,6,183
733,1,3,0.3333333333333333,150,25,926
899,1,3,0.3333333333333333,150,31,1122
364,1,3,0.3333333333333333,150,13,460
369,1,3,0.3333333333333333,150,13,465
209,1,3,0.3333333333333333,150,8,274
335,1,2,0.5,100,12,418
501,1,2,0.5,100,17,617
1095,1,3,0.3333333333333333,150,36,1347
590,1,3,0.3333333333333333,150,20,738
703,1,2,0.5,100,24,885
570,1,3,0.3333333333333333,150,19,705
801,1,2,0.5,100,27,1007
138,1,2,0.5,100,6,194
621,1,2,0.5,100,21,778
708,1,2,0.5,100,24,894
188,1,2,0.5,100,7,251
639,1,3,0.3333333333333333,150,22,800
577,1,2,0.5,100,20,717
248,1,2,0.5,100,9,316
397,1,2,0.5,100,14,505
443,1,2,1.0,100,15,553
192,1,2,0.5,100,8,255
566,1,3,0.3333333333333333,150,19,701
764,1,1,1.0,50,26,960
1013,1,2,0.5,100,34,1246
133,1,2,1.0,100,6,189
903,1,3,0.3333333333333333,150,31,1127
704,1,2,0.5,100,24,886
712,1,1,1.0,50,24,899
936,1,3,0.3333333333333333,150,32,1162
911,1,2,0.5,100,31,1136
737,1,3,0.3333333333333333,150,25,930
325,1,3,0.3333333333333333,150,11,407
614,1,2,0.5,100,21,770
346,1,2,1.0,100,12,435
522,1,2,0.5,100,18,641
530,1,2,1.0,100,18,649
